Id,Rating
17363-56,46
20213-56,42
18076-57,56
18109-57,56
19213-57,38
18734-59,30
19836-59,8
20558-59,46
22068-61,30
23011-61,34
23205-61,24
22938-62,38
23529-62,18
23581-62,42
22069-63,54
22242-63,38
23011-63,18
23173-63,34
23488-63,0
21918-64,18
23526-64,34
23630-64,36
23836-64,2
23528-65,22
23760-65,22
23183-66,34
22345-67,4
23026-67,18
22315-71,0
22869-72,12
24293-72,32
21948-74,2
24602-74,24
21854-75,34
22974-75,36
23391-75,60
24233-75,0
24390-75,4
24868-75,48
25060-75,60
25186-75,60
24440-76,32
22005-77,18
22306-77,54
23008-78,4
23783-78,30
24767-78,28
24959-78,6
25753-79,26
25910-79,60
27018-81,50
27038-82,44
26469-85,38
26786-85,56
26978-85,46
34952-85,56
27686-86,16
28976-86,6
28172-87,54
29397-87,8
28428-88,2
28185-89,22
27840-90,22
29849-90,54
30109-91,20
28443-92,18
30032-93,18
31268-93,44
27783-97,34
29756-97,60
30177-97,54
30217-97,12
30258-97,20
27975-99,46
31930-100,14
30816-101,4
30733-102,60
30921-102,40
32078-103,56
32105-103,12
27920-105,8
30270-105,22
29979-106,10
31901-106,50
36457-146,54
36601-146,42
37460-147,28
48412-176,42
48985-176,42
50298-177,58
47919-178,42
49252-178,8
50762-178,28
48046-179,50
48647-179,48
50570-179,46
49553-180,34
49944-180,22
50426-180,2
50183-181,42
50757-181,40
50834-181,60
40942-155,28
40998-155,24
42391-155,28
40971-156,40
41625-156,12
41303-158,26
41895-159,52
41088-160,20
41120-160,34
42052-160,48
41330-161,10
43031-161,48
40973-162,36
41787-162,58
42455-162,60
42576-162,4
43833-163,2
45092-163,46
44176-164,14
45344-164,0
43370-167,16
44350-167,52
45449-167,58
43365-168,30
43555-168,8
45447-168,28
43379-169,48
43822-169,2
43965-169,60
46585-170,42
47779-172,34
50426-182,4
50469-182,24
50554-182,56
50857-182,0
488-0,12
40525-1,38
40881-1,26
543-2,42
637-2,52
798-3,44
1240-3,8
1746-3,22
38407-151,22
40117-151,4
2260-4,58
3113-4,36
3931-4,14
2656-5,38
2866-5,4
3721-5,60
3474-6,50
4032-7,28
4036-7,2
2106-8,0
3631-8,16
4086-8,56
4326-8,58
21790-68,46
24609-69,12
24450-70,8
49765-174,34
50188-174,20
50306-174,56
48679-175,6
48984-175,16
49215-175,58
3380-9,58
3874-9,36
4495-9,0
5585-9,22
2878-11,22
36342-11,24
3114-12,44
4835-12,52
5037-12,56
3021-13,22
4435-13,26
5986-14,18
7057-15,10
6062-16,60
6620-16,2
38746-148,26
6203-17,12
7713-17,48
8854-19,24
9050-20,56
6693-21,28
8855-21,56
8896-22,10
9563-22,10
9462-23,52
10171-23,16
7753-24,60
9208-24,24
9835-24,12
10509-24,38
6867-25,18
9870-25,52
10720-25,46
10858-25,40
6445-26,50
9871-27,10
33464-140,36
35693-140,18
35821-140,20
34739-141,42
34955-141,46
33464-142,20
33584-142,22
35026-142,10
34344-143,58
35270-143,36
35235-144,28
35320-144,30
35716-144,44
34924-145,42
35281-145,10
6737-28,38
8370-28,18
10664-28,12
10972-28,32
7203-29,2
9660-29,18
38479-152,56
38904-152,38
38915-152,56
38931-152,36
40523-152,46
40539-152,42
38946-153,32
39175-153,50
39191-153,58
40554-153,50
39668-154,14
12931-30,56
28105-94,18
28221-94,12
29260-94,4
30494-94,54
29361-95,18
30417-96,24
33305-134,20
34416-134,0
34883-134,34
33354-135,50
34375-135,28
33232-136,54
33270-136,26
33317-136,10
34898-137,56
33278-138,52
33666-138,58
33779-138,20
34766-138,54
33550-139,22
16762-39,46
18017-44,52
18390-44,4
18643-44,30
18853-44,16
18902-45,40
17551-46,46
17575-46,14
18211-22,56
18976-22,30
19627-22,56
19647-48,26
20299-48,38
20372-48,58
21382-48,12
21413-48,52
21560-48,2
22888-48,44
17608-49,18
17609-49,4
19009-49,32
19412-49,8
20163-49,48
17358-50,48
17390-50,60
18790-50,44
19442-50,16
19571-50,18
20371-50,40
17163-51,48
19748-51,28
21370-60,32
22446-60,8
18850-52,10
20674-52,44
32671-52,8
20645-53,46
20674-54,40
20749-54,16
20973-54,4
33016-54,20
32243-108,50
32269-110,52
32277-110,38
32910-115,14
32940-116,26
33075-116,10
32748-117,2
33041-117,60
33000-118,56
32640-120,26
32189-123,36
32788-127,38
32339-129,12
32827-129,8
33115-132,38
33015-133,26
19050-56,22
21082-57,32
19454-58,24
19308-59,36
20573-59,40
21831-62,30
23117-62,10
24057-63,18
24077-63,0
24159-63,46
21669-64,42
22790-64,56
23003-64,56
23503-65,38
21272-66,30
22171-66,8
24093-66,46
21673-67,30
22958-67,34
23254-67,24
22029-71,38
22276-71,18
23460-71,42
23557-72,54
21877-73,38
23603-73,18
23655-74,34
24831-74,0
23603-75,18
24498-75,34
24579-75,36
22269-76,2
21770-77,22
23911-77,22
25115-77,34
21827-78,4
23239-78,18
26693-79,0
27659-79,12
25608-81,32
26562-81,2
26322-82,24
26397-82,34
25542-83,36
27359-84,60
25925-85,0
27356-85,4
33368-85,48
34189-85,60
28813-86,60
28618-87,32
29579-87,18
29721-88,54
29863-88,4
29968-88,30
30160-88,28
30202-89,6
30585-89,26
27930-90,60
29845-90,50
29968-90,44
29984-90,38
30028-91,56
30219-91,46
29062-92,56
29434-92,16
29829-92,6
30021-92,54
30512-92,8
30651-92,2
30731-92,22
31580-98,22
28591-99,54
32177-99,20
31123-100,18
28892-101,18
29406-101,44
31283-101,34
29588-102,60
28733-103,54
30242-103,12
31520-103,20
27691-104,46
29030-104,14
29466-104,4
31576-104,60
32130-104,40
30943-105,56
32084-106,12
36458-146,8
36517-146,22
37816-146,10
37488-147,50
50425-176,54
48774-178,42
49167-178,28
49312-178,42
50437-178,42
50670-178,58
50765-178,42
49750-179,8
49904-180,28
48235-181,50
49551-181,48
50414-181,46
41045-155,34
41385-155,22
41390-156,2
42262-157,42
43165-157,40
41344-158,60
43222-158,28
40995-160,24
42155-160,28
42855-160,40
43285-160,12
42645-161,26
42868-161,52
44178-163,20
44691-163,34
44787-163,48
45118-163,10
44178-165,48
44190-165,36
44992-165,58
45396-165,60
43809-166,4
43813-166,2
44201-166,46
44205-166,14
44659-166,0
45048-166,16
44085-168,52
44123-169,58
45766-170,30
46458-170,8
45920-171,28
50411-182,48
50425-182,2
1534-0,12
152-1,38
38834-1,26
40045-1,42
40401-1,52
40696-1,44
1383-2,8
3-3,22
671-3,22
38779-150,4
40334-150,58
2637-4,36
3302-4,14
3091-5,38
3302-6,4
3511-6,60
4655-7,50
4954-7,28
3499-8,2
3852-8,0
4002-8,16
4249-8,56
24180-68,58
21587-69,46
21845-70,12
22043-70,8
23820-70,34
24547-70,20
49982-175,56
50092-175,6
2743-9,16
2625-10,58
3293-10,58
3358-10,36
2584-11,0
36117-11,22
4557-12,22
5064-12,24
38065-12,44
5767-14,52
5816-15,56
6330-16,22
39088-148,26
39403-148,18
39426-148,10
5816-17,60
8686-17,2
7780-18,26
5817-19,12
7605-19,48
7940-19,24
8299-19,56
8711-19,28
9865-21,56
9869-21,10
7900-23,10
6763-24,52
7039-25,16
7739-25,60
10511-25,24
10393-26,12
7723-27,38
8532-27,18
33837-140,52
35093-140,46
35771-140,40
33586-141,50
34453-141,10
35993-141,36
33823-142,18
35906-142,20
34004-144,42
34640-144,46
35051-144,20
35236-144,22
35420-144,10
35760-144,58
34093-145,36
7824-28,28
9925-28,30
10394-28,44
10576-29,42
39103-152,10
40471-152,38
39795-153,18
38820-154,12
12508-31,32
12376-32,2
28796-94,18
31620-95,56
30376-96,38
13873-35,56
16602-35,36
33640-134,46
35094-134,42
34023-135,32
34524-135,50
33906-136,58
34299-136,50
35063-136,14
35104-136,56
33946-137,18
34512-137,12
33384-139,4
33594-139,54
33722-139,18
15362-36,24
18313-44,20
18625-44,0
17711-45,34
18330-45,50
18354-45,28
18362-45,54
17886-46,26
18044-46,10
18221-46,56
18229-46,52
19954-22,58
19966-22,20
17144-47,54
18145-47,22
19466-47,46
19690-47,52
20439-47,4
17586-48,30
19803-48,16
22352-48,40
22384-48,46
22539-48,14
19475-49,56
20142-49,30
17917-50,56
19472-50,26
19519-50,38
17367-51,58
21760-60,12
22242-60,52
22367-60,2
17921-52,44
19800-52,18
32279-52,4
32737-52,32
20694-53,8
17289-54,48
19836-54,48
20098-55,60
32690-108,44
32754-108,16
32762-108,18
33111-109,40
33102-110,48
32951-112,28
32589-113,32
32552-119,8
32834-119,10
32944-119,44
32947-120,8
33174-121,46
32916-124,40
33026-124,16
32593-128,4
33141-132,20
21209-56,50
19478-57,52
20353-58,38
20617-58,14
19576-59,26
19621-59,10
20959-59,2
22169-61,60
22068-62,56
22653-62,26
23722-63,36
22962-64,38
21414-65,12
22545-65,8
23568-66,38
22299-67,26
23779-67,22
24030-67,32
24070-67,24
23153-71,36
23212-71,40
23877-73,30
23111-74,10
24390-74,18
21354-75,0
21489-76,46
21962-76,42
23367-77,56
24792-77,56
25002-77,38
25310-77,30
22505-78,8
23382-78,46
25193-78,30
26468-79,34
27087-79,24
27187-79,38
27371-79,18
26037-80,42
26467-80,54
26981-81,38
25605-83,18
26420-84,34
26585-85,0
26681-85,18
34047-85,34
28311-86,36
27839-87,2
28056-87,22
28138-87,22
29717-88,34
30156-88,4
30422-89,18
29290-90,0
30156-90,12
28664-91,32
29739-91,2
30501-91,24
30565-91,34
27785-92,36
28780-92,60
28068-97,0
28970-97,4
29639-97,48
32150-97,60
27798-99,60
30952-99,32
31588-99,18
31897-99,54
28677-100,4
32078-100,30
29423-101,28
30888-101,6
28085-102,26
29522-102,60
30816-102,50
30679-103,44
28556-104,38
30529-104,56
31179-104,46
31301-104,56
28752-105,16
31296-105,6
27920-106,54
29687-106,8
29744-106,2
37631-146,22
36326-147,22
36585-147,54
37085-147,20
37252-147,18
47801-176,18
50834-176,44
48043-177,34
49028-177,60
49455-177,54
50521-177,12
48046-178,20
48119-178,46
50005-178,14
47719-179,4
50005-180,60
50626-180,40
50703-180,56
47778-181,12
50596-181,8
41272-155,22
41287-155,10
41303-155,50
42624-155,54
42554-156,42
41565-157,28
43235-158,42
42099-160,42
42899-160,58
41197-161,42
43284-161,8
41732-162,28
42416-162,50
43559-163,48
43787-163,46
44350-164,34
44467-164,22
44122-165,2
43531-166,42
44466-166,40
44478-166,60
44614-166,28
45063-166,24
45191-166,28
43676-167,40
45059-168,12
43569-169,26
43705-169,52
44340-169,20
49773-182,34
49347-183,48
49383-183,10
49410-183,48
50469-183,36
797-0,12
1551-1,38
39269-1,26
235-2,42
843-3,52
902-3,44
39117-150,8
39972-150,22
39157-151,22
40404-151,4
2364-4,58
2526-4,36
2715-4,14
1862-5,38
2982-5,4
3278-5,60
4380-7,50
23632-68,28
22175-69,2
22388-69,0
24022-69,16
24318-69,56
24631-69,58
24780-69,46
22382-70,12
22429-70,8
24826-70,34
49546-173,20
50291-174,56
48875-175,6
4227-9,16
5044-9,58
2870-10,58
2008-11,36
2413-11,0
5388-11,22
36427-11,22
37849-11,24
2063-12,44
3230-12,52
4576-12,56
5437-12,22
36694-12,26
38159-12,18
2314-13,10
4543-13,60
6505-14,2
7056-14,26
38846-148,12
38930-148,48
39613-148,24
38676-149,56
39012-149,28
39029-149,56
39140-149,10
39156-149,10
39234-149,52
39358-149,16
7125-17,60
7656-18,24
8501-18,12
8663-18,38
7109-19,18
7772-19,52
9446-20,46
9138-22,40
9166-22,50
6619-23,10
8230-23,36
10423-24,18
6444-25,20
9737-25,42
6869-26,46
10250-26,20
7752-27,22
7970-27,10
9851-27,58
9910-27,36
34905-140,28
35335-140,30
35793-140,44
35377-141,42
35505-141,10
35651-142,38
35943-142,18
33815-143,12
35377-143,32
35700-143,2
33863-144,18
33991-144,56
34007-144,38
35052-144,56
34243-145,36
34894-145,46
35251-145,42
7675-28,32
10581-28,50
40629-152,58
40841-152,50
38479-153,14
38931-153,56
40250-153,18
11364-30,12
15043-34,4
28214-94,54
30724-94,18
31147-94,24
28221-95,20
28397-95,0
29785-95,34
29162-96,50
29367-96,28
31642-96,54
13583-33,26
16692-43,10
13672-35,56
33332-134,52
33366-134,58
33309-135,20
33882-135,54
34886-135,22
35002-135,46
35014-135,52
33335-136,4
34065-136,30
34883-137,16
16712-37,40
16817-38,46
17640-45,14
19061-45,56
17240-46,30
17398-46,56
17907-46,26
18684-46,38
18869-46,58
19095-46,12
18425-22,52
18667-22,2
18946-47,44
19853-47,18
19971-47,4
17907-48,32
22126-48,8
22300-48,48
20298-49,48
20238-50,60
18142-51,44
18947-51,16
18979-51,18
21572-60,40
22850-60,48
20612-52,28
20822-52,32
18080-53,8
20002-53,10
18081-55,44
33031-55,8
32382-107,46
32235-109,40
33034-109,16
32287-111,4
32950-111,20
32837-114,50
33033-114,52
32314-115,38
32193-116,14
32837-116,26
33079-119,10
32757-123,2
32187-124,60
32265-125,56
32870-126,26
32571-129,36
32544-132,38
32258-133,12
32886-133,8
19156-57,38
20048-57,26
21163-57,22
20340-58,32
19339-59,24
19848-59,36
21381-61,40
23999-61,30
24056-62,10
24076-62,18
21673-63,0
23290-63,46
23692-64,42
23003-65,56
23902-65,56
23103-66,38
23593-66,30
23785-66,8
21466-67,46
22295-67,30
23148-67,34
23235-67,24
23800-67,38
24010-67,18
24053-67,42
24093-67,54
24003-72,38
24089-73,18
22987-74,34
23605-74,0
24411-74,18
24562-74,34
21574-75,36
23144-75,2
24788-75,22
25163-75,22
25222-75,34
22995-76,4
23287-76,18
25272-76,0
24213-77,12
25381-77,32
23639-78,2
23954-78,24
25747-80,34
26235-80,36
27339-80,60
25496-81,0
26733-83,4
27565-83,48
34042-85,60
34455-85,60
35378-85,32
27861-86,18
28416-86,54
29121-86,4
29368-87,30
29372-87,28
29416-87,6
27752-88,26
27768-88,60
28306-88,50
30486-88,44
30627-88,38
29368-89,56
29942-89,46
30413-90,56
30550-90,16
28270-91,6
29020-91,54
29927-91,8
30021-91,2
30388-91,22
30708-92,22
30278-93,54
28472-97,20
30518-97,18
31022-98,18
31820-98,44
32144-98,34
27703-99,60
28172-99,54
31864-99,12
30202-100,20
31787-100,46
27761-101,14
29024-101,4
30152-101,60
31541-101,40
31733-101,56
31769-103,12
31888-103,8
32080-103,22
32091-104,10
27883-105,50
28335-105,54
30333-105,42
30688-105,28
29473-106,42
31020-106,42
31495-106,58
37008-146,42
38359-146,8
36258-147,28
37574-147,50
49178-176,48
50735-176,46
49672-177,34
50764-177,22
50392-179,2
50437-179,42
50836-179,40
50705-180,60
49851-181,28
50268-181,24
50518-181,28
41594-155,40
42490-155,12
42231-156,26
42725-156,52
41594-157,20
41910-158,34
42133-158,48
43036-158,10
40970-159,48
41823-159,36
40971-160,58
43241-160,60
40962-161,4
41812-161,2
42077-161,46
42505-161,14
42601-161,0
43580-163,16
44476-163,52
44100-164,58
43904-165,30
45341-165,8
43704-166,28
44375-166,48
44639-166,2
44398-167,60
44650-167,42
44318-168,34
45233-168,4
45241-168,24
45478-168,56
43963-169,0
48542-172,44
48342-182,12
48892-183,14
50101-183,6
50297-183,50
969-0,38
1175-0,26
775-1,42
40354-1,52
40355-1,44
40651-1,8
152-2,22
925-3,22
1221-3,4
39697-150,58
39944-151,36
40911-151,14
3394-4,38
2547-6,4
2685-6,60
3907-6,50
23215-68,28
24339-68,2
24535-68,0
21845-69,16
48296-173,56
48800-175,58
49168-175,46
50127-175,12
4406-9,8
4415-9,34
4564-9,20
5248-9,56
2232-10,6
2891-10,16
4049-10,58
4289-10,58
1940-11,36
36509-11,0
36898-11,22
2442-12,22
6876-14,24
7170-15,44
7178-15,52
7277-15,56
7216-16,22
39971-148,26
38934-149,18
39403-149,10
6256-17,60
7883-18,2
8317-18,26
8313-20,12
8905-21,48
9985-21,24
7939-22,56
9868-22,28
10123-25,56
10475-25,10
6021-26,10
8864-26,52
9038-26,16
9674-26,60
9273-27,24
10123-27,12
10491-27,38
33435-140,18
35856-140,52
33612-141,46
33621-141,40
34896-141,50
35291-142,10
33544-143,36
33664-143,18
33814-143,20
34787-143,42
35062-143,46
35384-143,20
35429-144,22
34714-145,10
35178-145,58
35179-145,36
10635-28,28
10770-28,30
8257-29,44
40471-153,42
40628-153,10
40871-154,38
11652-30,18
12665-30,12
14401-34,32
14773-34,2
12391-31,18
29054-94,56
29341-94,38
30342-94,56
27775-95,36
28364-96,46
30677-96,42
31559-96,32
31992-96,50
16819-42,58
16852-42,50
33950-134,14
34078-134,56
34935-134,18
33585-136,12
34261-136,4
34392-136,54
34923-136,18
34051-137,24
34179-137,20
34299-137,0
34719-137,34
34957-137,50
35070-137,28
33241-138,54
34825-138,26
33470-139,10
33845-139,56
34965-139,52
35085-139,58
17852-44,20
18211-44,54
18741-44,22
18765-44,46
19025-44,52
19057-44,4
18261-45,30
18329-46,16
17677-22,40
18750-22,46
20204-22,14
17252-47,56
18253-47,30
20393-48,56
17249-49,26
19183-49,38
20024-49,58
20246-49,12
20129-50,52
19434-51,2
22168-60,44
32458-52,18
17585-53,4
19210-53,32
20577-53,8
17188-54,48
19109-54,48
19904-54,60
20815-54,44
32818-54,16
20730-55,18
32891-55,40
33066-112,48
33143-113,28
33205-116,32
32996-117,8
32223-119,10
32263-119,44
32578-119,8
32590-119,46
32773-119,40
32338-122,16
33057-123,4
32865-124,20
32294-125,50
32651-125,52
32360-127,38
33118-129,14
32570-130,26
33141-131,10
32547-132,2
17783-58,60
17974-58,56
19078-58,26
18407-59,36
22284-61,38
23162-61,12
23503-61,8
21325-62,38
23829-62,26
23939-62,22
22680-63,32
23795-63,24
23980-63,36
24012-63,40
23155-64,30
24134-64,10
24219-64,18
23316-65,0
23423-65,46
23612-65,42
23212-66,56
21840-67,56
22141-71,38
21541-73,30
22478-73,8
22923-73,46
24126-73,30
24277-73,34
21290-74,24
22289-74,38
21597-75,18
21690-75,42
24085-75,54
25394-75,38
23017-76,18
24600-76,34
21682-77,0
22505-77,18
22667-78,34
22867-78,36
25057-78,2
25259-78,22
26025-79,22
26367-79,34
27183-81,4
26448-82,18
26403-83,0
27231-83,12
25607-84,32
25549-85,2
25664-85,24
26976-85,34
35746-85,36
35974-85,60
28178-86,0
28386-86,4
28888-87,48
29113-88,60
30006-88,60
30070-88,32
30163-88,18
30285-88,54
30735-88,4
30737-88,30
29191-89,28
29557-89,6
27684-90,26
29949-90,60
28116-91,50
30499-92,44
27677-93,38
30918-93,56
31599-93,46
31882-97,56
32097-97,16
29627-98,6
31724-99,54
29001-100,8
29627-100,2
30129-100,22
31074-100,22
29940-101,54
30045-104,20
32063-104,18
27812-105,18
28004-105,44
29069-105,34
30791-105,60
31899-106,54
32181-106,12
36584-146,20
38282-146,46
36689-147,14
48900-176,4
47409-178,60
49027-178,40
49028-178,56
50002-178,12
49031-180,8
49282-180,22
49871-180,10
49903-180,50
50436-180,54
50596-180,42
47579-181,28
41185-155,42
41230-155,42
42316-155,58
41256-156,42
41495-156,8
41607-156,28
41953-156,50
41356-157,48
41414-158,46
42215-158,34
43065-158,22
41523-159,2
41822-159,42
41758-160,40
42519-160,60
43016-161,28
41196-162,24
41366-162,28
43283-162,40
44305-163,12
44798-163,26
43415-164,52
43507-164,20
44177-164,34
44995-164,48
45143-164,10
44693-165,48
44923-165,36
43526-166,58
44121-166,60
44795-167,4
44332-168,2
44364-168,46
45021-168,14
43882-169,0
45609-170,16
46424-170,52
47517-172,58
48699-172,30
48781-172,8
49326-182,28
49773-183,48
50569-183,2
39373-1,38
40065-1,26
530-2,42
1047-2,52
295-3,44
38472-151,8
39129-151,22
40303-151,22
2062-5,4
2715-5,58
2865-5,36
2869-5,14
3165-5,38
2760-6,4
3978-6,60
4035-7,50
4578-7,28
3112-8,2
4368-8,0
5044-8,16
22634-68,56
23902-68,58
24553-68,46
24776-68,12
24403-70,8
24716-70,34
48053-174,20
49462-174,56
48130-175,6
1793-9,16
2662-9,58
2671-9,58
4627-9,36
5295-9,0
5044-10,22
1958-11,22
2671-11,24
4436-11,44
4619-11,52
36186-11,56
37143-11,22
38091-11,26
2008-12,18
4886-12,10
5035-12,60
3521-13,2
5092-13,26
5695-14,12
6897-14,48
6406-15,24
6856-15,56
6047-16,28
7124-16,56
39028-148,10
39087-148,10
39261-149,52
7564-19,16
7714-19,60
8070-19,24
6796-20,12
7403-20,38
8128-20,18
9599-21,52
10346-21,46
5946-23,40
10815-24,50
10406-25,10
5991-26,36
7302-26,18
9837-26,20
9853-26,42
10305-26,46
9643-27,20
10722-27,22
35212-140,10
35954-140,58
34201-141,36
34343-141,28
35904-141,30
34863-142,44
35678-142,42
35751-142,10
35954-142,38
35962-142,18
36021-142,12
34073-143,32
35905-143,2
35972-143,18
33275-144,56
34219-145,38
34530-145,56
35785-145,36
35968-145,46
7869-29,42
38807-152,32
40511-152,50
40276-153,58
40277-153,50
39246-154,14
11172-30,56
15298-34,18
31824-95,12
28536-96,4
30754-96,54
13496-33,18
35002-134,24
33413-135,20
33541-135,0
34579-135,34
34707-135,50
33912-136,28
34099-136,54
34594-136,26
35083-136,10
33335-137,56
33343-137,52
33912-138,58
34032-138,20
34323-138,54
34781-138,22
35005-138,46
33634-139,52
33642-139,4
16784-37,30
16716-38,16
16817-39,40
17133-44,46
18193-44,14
18851-44,56
18868-45,30
19152-45,56
19160-45,26
17640-46,38
19334-22,58
19318-47,12
19310-48,52
20002-48,2
17389-49,44
17712-50,18
19633-50,4
19930-50,32
17683-51,8
19382-51,48
32405-52,48
18243-53,60
19379-53,44
19829-53,16
17427-54,18
18645-54,40
20744-54,48
17160-55,28
17164-55,32
17456-55,8
18560-55,10
19379-55,44
19383-55,8
19605-55,46
32208-55,40
33163-55,16
32950-108,4
32997-109,20
32231-112,50
33225-113,52
32715-115,38
32323-121,14
32422-124,26
32960-125,10
32618-133,2
32630-133,60
20383-57,56
20789-57,26
17988-58,36
18130-58,38
19791-58,12
19982-58,8
19889-59,38
20789-59,26
22081-61,22
22112-61,32
23039-61,24
23475-62,36
22081-63,40
23007-63,30
23185-63,10
23584-63,18
23634-63,0
23666-63,46
21968-64,42
24010-66,56
23252-67,56
23785-67,38
23994-71,30
25342-71,8
22233-72,46
25222-72,30
21562-73,34
21626-73,24
23646-73,38
24471-73,18
25120-74,42
22126-76,54
23080-76,38
24663-76,18
22995-77,34
21882-78,0
23581-78,18
27358-79,34
25728-80,36
26174-80,2
27535-81,22
26281-82,22
26380-82,34
25939-83,4
26235-83,18
27339-83,0
26047-85,12
34996-85,32
35574-85,2
28212-87,24
29121-87,34
29251-87,36
30637-88,60
30287-89,0
27807-90,4
28270-90,48
29432-90,60
29970-90,60
30221-91,32
30413-91,18
29277-92,54
30337-92,4
31281-93,30
31347-93,28
28577-97,6
29812-97,26
30613-97,60
32074-98,50
30105-99,44
31316-99,38
29250-100,56
31864-100,46
31677-101,56
31936-101,16
31940-101,6
30518-102,54
32045-102,8
28280-103,2
29317-104,22
30688-104,22
31378-104,54
28540-106,20
29841-106,18
30331-106,18
31378-106,44
36242-146,34
36448-147,60
37401-147,54
48045-176,12
49558-176,20
50572-177,46
50702-177,14
50735-177,4
50735-179,60
48136-180,40
49449-180,56
49453-180,12
41103-155,8
41215-155,22
41274-155,10
41866-156,50
41386-157,54
42144-158,42
42245-159,28
41489-162,42
42107-162,42
42600-162,58
42728-162,42
43556-163,8
44153-163,28
43573-164,50
44208-165,48
43547-166,46
45107-166,34
45336-166,22
44502-167,2
43358-168,42
43785-168,40
45099-168,60
45107-168,28
44156-169,24
44157-169,28
44284-169,40
44480-169,12
44481-169,26
45789-170,52
47111-170,20
45740-171,34
46824-171,48
47836-172,10
48009-172,48
50396-182,36
50839-182,58
48818-183,60
50568-183,4
50702-183,2
50734-183,46
38933-1,60
924-2,42
1429-2,34
40275-150,4
38730-151,24
39971-151,56
40883-151,0
2339-4,44
3137-4,12
3955-4,14
2235-5,6
2684-5,50
2685-5,0
2890-5,24
3744-5,22
3745-5,46
1928-6,60
3853-6,12
4060-7,22
5119-7,58
5207-8,58
23068-68,10
23173-69,8
24696-69,22
49203-173,50
49870-173,22
47507-174,10
48582-174,54
50208-174,58
50304-174,16
2076-9,44
2547-9,18
2632-10,56
4689-10,10
5316-11,60
38120-11,60
3291-12,26
4414-12,28
5065-12,50
5572-12,32
36507-12,4
37878-12,22
3084-13,20
3085-13,56
3092-13,14
5515-13,12
6073-14,42
6335-14,30
7178-14,18
6368-15,50
6315-16,52
7040-16,46
38620-148,26
39105-148,10
39596-148,56
40075-148,14
39825-149,48
39841-149,10
6211-17,16
7720-17,50
8300-17,16
5935-18,8
7841-18,14
8552-18,48
7100-19,44
8862-19,22
9259-20,14
6837-22,28
9591-22,0
6020-25,30
7724-25,22
10594-25,28
7999-26,2
10392-26,50
33814-140,36
34345-140,56
33443-141,60
34102-141,2
34230-141,48
35132-141,22
33985-142,26
34904-142,56
35699-142,16
33713-143,8
34364-143,54
35492-143,54
33694-144,20
34005-144,22
34133-144,40
35717-145,56
36012-145,22
9081-28,34
10141-28,6
10493-28,58
7373-29,18
38693-152,36
38709-152,60
38917-152,12
40088-152,24
40102-152,0
40146-153,28
39927-154,14
40189-154,12
40611-154,34
40756-154,54
12434-30,22
14142-34,28
